Gender,Name,Age,Hometown,Exited,Season,Status,Entered,City_Pop,Largest_City_Pop,City_Size,Num_Couples,First_Name,Unique_Identifier
F,Nicki Iliopoulou,33,Athens,39,Love Island Greece (Season 1),Third Place,1,,"3,153,781",0,5,Nicki,NickiLove Island Greece (Season 1)
M,Alexandros Kotsis,32,Athens,39,Love Island Greece (Season 1),Fourth Place,1,,"3,153,781",0,2,Alexandros K,Alexandros KLove Island Greece (Season 1)
F,Christina Mitsakou,29,Athens,39,Love Island Greece (Season 1),Fourth Place,1,,"3,153,781",0,3,Christina,ChristinaLove Island Greece (Season 1)
M,Alexandros Lousai,25,Athens,36,Love Island Greece (Season 1),Dumped,1,,"3,153,781",0,3,Alexandros L,Alexandros LLove Island Greece (Season 1)
F,Claudia Penka,24,Dubai,36,Love Island Greece (Season 1),Dumped,1,,"3,153,781",0,4,Claudia,ClaudiaLove Island Greece (Season 1)
F,Katerina Vagancia,25,Athens,35,Love Island Greece (Season 1),Dumped,17,,"3,153,781",0,3,Katerina,KaterinaLove Island Greece (Season 1)
M,Panagiotis Avramopoulos,30,Athens,35,Love Island Greece (Season 1),Dumped,10,,"3,153,781",0,3,Panagiotis,PanagiotisLove Island Greece (Season 1)
M,Christos Souzos,28,Corfu,28,Love Island Greece (Season 1),Dumped,21,,"3,153,781",0,0,Christos,ChristosLove Island Greece (Season 1)
M,George Sotiriou,24,Athens,20,Love Island Greece (Season 1),Dumped,13,,"3,153,781",0,1,George,GeorgeLove Island Greece (Season 1)
F,Julia Karagianni,26,Athens,20,Love Island Greece (Season 1),Dumped,15,,"3,153,781",0,1,Julia,JuliaLove Island Greece (Season 1)
M,Vasilis Ntafos,24,Piraeus,16,Love Island Greece (Season 1),Dumped,1,,"3,153,781",0,2,Vasilis,VasilisLove Island Greece (Season 1)
M,Giorgos Korkas,29,Corinth,14,Love Island Greece (Season 1),Walked,1,,"3,153,781",0,4,Giorgos,GiorgosLove Island Greece (Season 1)
F,Ioanna Tzani,27,Gytheio,14,Love Island Greece (Season 1),Walked,3,,"3,153,781",0,1,Ioanna,IoannaLove Island Greece (Season 1)
M,Thodoris Kontoleon,21,Athens,9,Love Island Greece (Season 1),Dumped,1,,"3,153,781",0,1,Thodoris,ThodorisLove Island Greece (Season 1)
F,Jess Hayes,22,Oxford,41,Love Island UK (Season 1),Winner,1,"143,016","8,982,000",0.01592251169,4,Jess,JessLove Island UK (Season 1)
M,Max Morley,22,Huddersfield,41,Love Island UK (Season 1),Winner,14,,"8,982,000",0,1,Max,MaxLove Island UK (Season 1)
F,Hannah Elizabeth,25,Liverpool,41,Love Island UK (Season 1),Runner-Up,1,"816,216","8,982,000",0.09087241149,1,Hannah,HannahLove Island UK (Season 1)
M,Jon Clark,25,Essex,41,Love Island UK (Season 1),Runner-Up,1,,"8,982,000",0,2,Jon,JonLove Island UK (Season 1)
M,Josh Ritchie,20,Bolton,41,Love Island UK (Season 1),Third Place,1,,"8,982,000",0,3,Josh,JoshLove Island UK (Season 1)
F,Lauren Richardson,26,East London,41,Love Island UK (Season 1),Third Place,1,,"8,982,000",0,3,Lauren,LaurenLove Island UK (Season 1)
F,Cally Jane Beech,23,Kingston upon Hull,41,Love Island UK (Season 1),Fourth Place,21,,"8,982,000",0,1,Cally,CallyLove Island UK (Season 1)
M,Luis Morrison,20,London,41,Love Island UK (Season 1),Fourth Place,1,"366,150","8,982,000",0.04076486306,4,Luis,LuisLove Island UK (Season 1)
M,Jordan Ring,31,Gloucester,35,Love Island UK (Season 1),Dumped,1,"136,203","8,982,000",0.01516399466,3,Jordan,JordanLove Island UK (Season 1)
F,Zoe Basia Brown,24,South London,35,Love Island UK (Season 1),Dumped,1,,"8,982,000",0,3,Zoe,ZoeLove Island UK (Season 1)
M,Ben Porter,24,Wakefield,33,Love Island UK (Season 1),Dumped,32,,"8,982,000",0,0,Ben,BenLove Island UK (Season 1)
F,Poppy Farnan,22,Cheshire,33,Love Island UK (Season 1),Dumped,32,,"8,982,000",0,0,Poppy,PoppyLove Island UK (Season 1)
F,Naomi Ball,23,East London,28,Love Island UK (Season 1),Dumped,7,,"8,982,000",0,1,Naomi,NaomiLove Island UK (Season 1)
M,Travis Almond,22,Essex,28,Love Island UK (Season 1),Dumped,21,,"8,982,000",0,0,Travis,TravisLove Island UK (Season 1)
M,Omar Sultani,22,Warwickshire,21,Love Island UK (Season 1),Dumped,1,,"8,982,000",0,2,Omar,OmarLove Island UK (Season 1)
F,Bethany Rogers,19,Leeds,21,Love Island UK (Season 1),Dumped,14,,"8,982,000",0,0,Bethany,BethanyLove Island UK (Season 1)
F,Daisy Muller,24,Birmingham,19,Love Island UK (Season 1),Dumped,7,,"8,982,000",0,1,Daisy,DaisyLove Island UK (Season 1)
M,Chris Williamson,27,Newcastle,19,Love Island UK (Season 1),Dumped,1,"398,770","8,982,000",0.04439657092,3,Chris W,Chris WLove Island UK (Season 1)
M,Chris Baxter,20,London,14,Love Island UK (Season 1),Dumped,11,"366,150","8,982,000",0.04076486306,1,Chris B,Chris BLove Island UK (Season 1)
F,Danielle Pyne,23,London,14,Love Island UK (Season 1),Dumped,1,"366,150","8,982,000",0.04076486306,3,Danielle,DanielleLove Island UK (Season 1)
F,Rachel Christie,26,London,11,Love Island UK (Season 1),Dumped,1,"366,150","8,982,000",0.04076486306,1,Rachel,RachelLove Island UK (Season 1)
M,John Alberti,29,Manchester,6,Love Island UK (Season 1),Dumped,3,"2,244,931","8,982,000",0.2499366511,0,John,JohnLove Island UK (Season 1)
M,Tony Alberti,29,Manchester,6,Love Island UK (Season 1),Dumped,3,"2,244,931","8,982,000",0.2499366511,0,Tony,TonyLove Island UK (Season 1)
F,Cara De La Hoyde,26,Kent,45,Love Island UK (Season 2),Winner,1,,"8,982,000",0,1,Cara,CaraLove Island UK (Season 2)
M,Nathan Massey,25,Essex,45,Love Island UK (Season 2),Winner,1,,"8,982,000",0,1,Nathan,NathanLove Island UK (Season 2)
M,Alex Bowen,24,Birmingham,45,Love Island UK (Season 2),Runner-Up,18,,"8,982,000",0,1,Alex,AlexLove Island UK (Season 2)
F,Olivia Buckland,22,Essex,45,Love Island UK (Season 2),Runner-Up,1,,"8,982,000",0,4,Olivia,OliviaLove Island UK (Season 2)
F,Kady McDermott,20,Stevenage,45,Love Island UK (Season 2),Third Place,3,,"8,982,000",0,1,Kady,KadyLove Island UK (Season 2)
M,Scott Thomas,28,Manchester,58,Love Island UK (Season 2),Third Place,1,"2,244,931","8,982,000",0.2499366511,2,Scott,ScottLove Island UK (Season 2)
M,Adam Maxted,24,Belfast,45,Love Island UK (Season 2),Fourth Place,11,"276,459","8,982,000",0.03077922512,5,Adam M,Adam MLove Island UK (Season 2)
F,Katie Salmon,20,The Wirral,45,Love Island UK (Season 2),Fourth Place,34,,"8,982,000",0,2,Katie,KatieLove Island UK (Season 2)
F,Emma Jane Woodham,19,Oxford,41,Love Island UK (Season 2),Dumped,27,"143,016","8,982,000",0.01592251169,1,Emma,EmmaLove Island UK (Season 2)
M,Terry Walsh,28,Surrey,41,Love Island UK (Season 2),Dumped,3,"468,250","8,982,000",0.05213204186,2,Terry,TerryLove Island UK (Season 2)
M,Adam Jukes,23,Manchester,41,Love Island UK (Season 2),Dumped,34,"2,244,931","8,982,000",0.2499366511,1,Adam J,Adam JLove Island UK (Season 2)
F,Lauren Whiteside,25,Blackpool,41,Love Island UK (Season 2),Dumped,37,"261,088","8,982,000",0.0290679136,1,Lauren,LaurenLove Island UK (Season 2)
F,Tina Stinnes,21,London,40,Love Island UK (Season 2),Dumped,20,"366,150","8,982,000",0.04076486306,2,Tina,TinaLove Island UK (Season 2)
F,Sophie Gradon,30,Newcastle,39,Love Island UK (Season 2),Walked,1,"398,770","8,982,000",0.04439657092,2,Sophie,SophieLove Island UK (Season 2)
M,Troy Frith,23,Kent,37,Love Island UK (Season 2),Dumped,30,,"8,982,000",0,1,Troy,TroyLove Island UK (Season 2)
M,Tom Powell,24,Port Talbot,33,Love Island UK (Season 2),Dumped,1,,"8,982,000",0,1,Tom,TomLove Island UK (Season 2)
F,Liana Isadora Van Riel,20,Exeter,33,Love Island UK (Season 2),Dumped,20,"106,772","8,982,000",0.01188733022,1,Liana,LianaLove Island UK (Season 2)
M,Oliver Maxwell Fernandez,25,Hertfordshire,31,Love Island UK (Season 2),Dumped,30,,"8,982,000",0,0,Oliver,OliverLove Island UK (Season 2)
F,Malin Andersson,23,Milton Keynes,25,Love Island UK (Season 2),Dumped,1,"184,506","8,982,000",0.02054175017,2,Malin,MalinLove Island UK (Season 2)
F,Zara Holland,20,Hull,22,Love Island UK (Season 2),Walked,1,,"8,982,000",0,3,Zara,ZaraLove Island UK (Season 2)
M,James Khan,20,Teddington,20,Love Island UK (Season 2),Dumped,18,,"8,982,000",0,0,James,JamesLove Island UK (Season 2)
M,Rykard Jenkins,25,Kent,15,Love Island UK (Season 2),Walked,1,,"8,982,000",0,3,Rykard,RykardLove Island UK (Season 2)
M,Daniel Lukakis,23,London,15,Love Island UK (Season 2),Dumped,1,"366,150","8,982,000",0.04076486306,2,Daniel,DanielLove Island UK (Season 2)
F,Rachel Fenton,23,Hampshire,15,Love Island UK (Season 2),Dumped,7,,"8,982,000",0,1,Rachel,RachelLove Island UK (Season 2)
F,Malia Arkian,26,Wilmslow,7,Love Island UK (Season 2),Removed,7,,"8,982,000",0,0,Malia,MaliaLove Island UK (Season 2)
M,Javi Shephard,27,York,6,Love Island UK (Season 2),Dumped,1,"137,505","8,982,000",0.01530895124,0,Javi,JaviLove Island UK (Season 2)
F,Amber Davies,20,North Wales,52,Love Island UK (Season 3),Winner,1,,"8,982,000",0,4,Amber,AmberLove Island UK (Season 3)
M,Kem Cetinay,21,Essex,52,Love Island UK (Season 3),Winner,1,,"8,982,000",0,4,Kem,KemLove Island UK (Season 3)
F,Camilla Thurlow,27,Dumfries,52,Love Island UK (Season 3),Runner-Up,1,,"8,982,000",0,4,Camilla,CamillaLove Island UK (Season 3)
M,Jamie Jewitt,27,Essex,52,Love Island UK (Season 3),Runner-Up,32,,"8,982,000",0,1,Jamie,JamieLove Island UK (Season 3)
M,Chris Hughes,24,Cheltenham,52,Love Island UK (Season 3),Third Place,4,,"8,982,000",0,2,Chris,ChrisLove Island UK (Season 3)
F,Olivia Attwood,26,Guildford,52,Love Island UK (Season 3),Third Place,1,,"8,982,000",0,4,Olivia,OliviaLove Island UK (Season 3)
F,Gabby Allen,25,Liverpool,52,Love Island UK (Season 3),Fourth Place,7,"816,216","8,982,000",0.09087241149,1,Gabby,GabbyLove Island UK (Season 3)
M,Marcel Somerville,31,London,52,Love Island UK (Season 3),Fourth Place,1,"366,150","8,982,000",0.04076486306,3,Marcel,MarcelLove Island UK (Season 3)
M,Alex Beattie,22,Newcastle,50,Love Island UK (Season 3),Dumped,26,"398,770","8,982,000",0.04439657092,1,Alex,AlexLove Island UK (Season 3)
F,Montana Brown,21,Hertfordshire,50,Love Island UK (Season 3),Dumped,1,,"8,982,000",0,5,Montana,MontanaLove Island UK (Season 3)
F,Georgia Harrison,22,Essex,46,Love Island UK (Season 3),Dumped,34,,"8,982,000",0,2,Georgia,GeorgiaLove Island UK (Season 3)
M,Sam Gowland,21,Middlesbrough,46,Love Island UK (Season 3),Re-dumped,1,,"8,982,000",0,6,Sam,SamLove Island UK (Season 3)
M,Mike Thalassitis,24,North London,44,Love Island UK (Season 3),Re-dumped,12,,"8,982,000",0,3,Mike,MikeLove Island UK (Season 3)
F,Tyla Carr,23,Surrey,44,Love Island UK (Season 3),Dumped,19,"468,250","8,982,000",0.05213204186,4,Tyla,TylaLove Island UK (Season 3)
M,Theo Campbell,25,Bath,41,Love Island UK (Season 3),Dumped,32,,"8,982,000",0,1,Theo,TheoLove Island UK (Season 3)
M,Jonny Mitchell,26,Essex,38,Love Island UK (Season 3),Dumped,4,,"8,982,000",0,3,Jonny,JonnyLove Island UK (Season 3)
M,Craig Lawson,27,London,31,Love Island UK (Season 3),Dumped,26,"366,150","8,982,000",0.04076486306,1,Craig,CraigLove Island UK (Season 3)
M,Nathan Joseph,25,Essex,31,Love Island UK (Season 3),Dumped,26,,"8,982,000",0,1,Nathan,NathanLove Island UK (Season 3)
F,Danielle Sellers,22,Hastings,31,Love Island UK (Season 3),Dumped,26,,"8,982,000",0,1,Danielle,DanielleLove Island UK (Season 3)
F,Chyna Ellis,22,Essex,31,Love Island UK (Season 3),Dumped,26,,"8,982,000",0,1,Chyna,ChynaLove Island UK (Season 3)
F,Amelia Peters,18,London,28,Love Island UK (Season 3),Dumped,26,"366,150","8,982,000",0.04076486306,0,Amelia,AmeliaLove Island UK (Season 3)
M,Dom Lever,26,Manchester,28,Love Island UK (Season 3),Dumped,1,"2,244,931","8,982,000",0.2499366511,3,Dom,DomLove Island UK (Season 3)
F,Ellisha-Jade White,22,Southampton,28,Love Island UK (Season 3),Dumped,26,"304,400","8,982,000",0.03389000223,0,Ellisha-Jade,Ellisha-JadeLove Island UK (Season 3)
M,Marino Katsouris,22,Brighton,28,Love Island UK (Season 3),Dumped,26,,"8,982,000",0,0,Marino,MarinoLove Island UK (Season 3)
M,Rob Lipsett,25,Dublin,28,Love Island UK (Season 3),Dumped,26,"527,612","8,982,000",0.05874103763,0,Rob,RobLove Island UK (Season 3)
F,Shannen McGrath,23,Dublin,28,Love Island UK (Season 3),Dumped,26,"527,612","8,982,000",0.05874103763,0,Shannen,ShannenLove Island UK (Season 3)
M,Steve Ball,25,Wiltshire,28,Love Island UK (Season 3),Dumped,26,,"8,982,000",0,0,Steve,SteveLove Island UK (Season 3)
M,Simon Searles,28,Leeds,25,Love Island UK (Season 3),Dumped,19,,"8,982,000",0,2,Simon,SimonLove Island UK (Season 3)
F,Chloë Crowhurst,22,Essex,23,Love Island UK (Season 3),Dumped,1,,"8,982,000",0,3,Chloë,ChloëLove Island UK (Season 3)
F,Jessica Shears,23,Devon,17,Love Island UK (Season 3),Dumped,1,,"8,982,000",0,1,Jessica,JessicaLove Island UK (Season 3)
F,Tyne-Lexy Clarson,20,Birmingham,14,Love Island UK (Season 3),Dumped,7,,"8,982,000",0,0,Tyne-Lexy,Tyne-LexyLove Island UK (Season 3)
M,Harley Judge,22,Norwich,6,Love Island UK (Season 3),Dumped,1,"194,839","8,982,000",0.0216921621,1,Harley,HarleyLove Island UK (Season 3)
F,Dani Dyer,21,East London,59,Love Island UK (Season 4),Winner,1,,"8,982,000",0,1,Dani,DaniLove Island UK (Season 4)
M,Jack Fincham,26,Kent,59,Love Island UK (Season 4),Winner,1,,"8,982,000",0,1,Jack Fi,Jack FiLove Island UK (Season 4)
F,Laura Anderson,29,Stirling,59,Love Island UK (Season 4),Runner-Up,1,,"8,982,000",0,3,Laura A,Laura ALove Island UK (Season 4)
M,Paul Knops,31,Bournemouth,59,Love Island UK (Season 4),Runner-Up,43,"383,713","8,982,000",0.04272021821,1,Paul,PaulLove Island UK (Season 4)
M,Josh Denzel,26,London,59,Love Island UK (Season 4),Third Place,8,"366,150","8,982,000",0.04076486306,2,Josh D,Josh DLove Island UK (Season 4)
F,Kazimir Crossley,23,London,59,Love Island UK (Season 4),Third Place,26,"366,150","8,982,000",0.04076486306,1,Kazimir,KazimirLove Island UK (Season 4)
F,Megan Barton Hanson,24,Essex,59,Love Island UK (Season 4),Fourth Place,8,,"8,982,000",0,3,Megan,MeganLove Island UK (Season 4)
M,Wes Nelson,20,Staffordshire,59,Love Island UK (Season 4),Fourth Place,1,,"8,982,000",0,2,Wes,WesLove Island UK (Season 4)
M,Alex George,27,Carmarthen,57,Love Island UK (Season 4),Dumped,1,,"8,982,000",0,4,Alex G,Alex GLove Island UK (Season 4)
F,Alexandra Cane,27,Hertfordshire,57,Love Island UK (Season 4),Dumped,38,,"8,982,000",0,1,Alexandra,AlexandraLove Island UK (Season 4)
M,Jack Fowler,22,London,53,Love Island UK (Season 4),Dumped,26,"366,150","8,982,000",0.04076486306,2,Jack Fo,Jack FoLove Island UK (Season 4)
F,Laura Crane,23,Devon,53,Love Island UK (Season 4),Dumped,43,,"8,982,000",0,1,Laura C,Laura CLove Island UK (Season 4)
M,Josh Mair,21,Birmingham,50,Love Island UK (Season 4),Dumped,43,,"8,982,000",0,1,Josh M,Josh MLove Island UK (Season 4)
F,Stephanie Lam,23,Hertfordshire,50,Love Island UK (Season 4),Dumped,43,,"8,982,000",0,1,Stephanie,StephanieLove Island UK (Season 4)
F,Georgia Steel,20,York,47,Love Island UK (Season 4),Dumped,4,"137,505","8,982,000",0.01530895124,3,Georgia,GeorgiaLove Island UK (Season 4)
M,Sam Bird,25,Norwich,47,Love Island UK (Season 4),Dumped,19,"194,839","8,982,000",0.0216921621,3,Sam,SamLove Island UK (Season 4)
M,Charlie Brake,23,Chelsea,43,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,1,Charlie B,Charlie BLove Island UK (Season 4)
F,Ellie Brown,20,Newcastle,43,Love Island UK (Season 4),Dumped,15,"398,770","8,982,000",0.04439657092,2,Ellie B,Ellie BLove Island UK (Season 4)
M,Idris Virgo,25,Birmingham,40,Love Island UK (Season 4),Dumped,36,,"8,982,000",0,0,Idris,IdrisLove Island UK (Season 4)
M,Kieran Nicholls,26,London,40,Love Island UK (Season 4),Dumped,36,"366,150","8,982,000",0.04076486306,0,Kieran,KieranLove Island UK (Season 4)
F,Samira Mighty,22,London,40,Love Island UK (Season 4),Walked,1,"366,150","8,982,000",0.04076486306,3,Samira,SamiraLove Island UK (Season 4)
M,Frankie Foster,22,Cheltenham,36,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,1,Frankie,FrankieLove Island UK (Season 4)
F,Grace Wardle,25,London,36,Love Island UK (Season 4),Dumped,26,"366,150","8,982,000",0.04076486306,1,Grace,GraceLove Island UK (Season 4)
M,Adam Collard,22,Newcastle,32,Love Island UK (Season 4),Dumped,1,"398,770","8,982,000",0.04439657092,4,Adam,AdamLove Island UK (Season 4)
M,Alex Miller,28,Essex,32,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,1,Alex M,Alex MLove Island UK (Season 4)
F,Darylle Sargeant,24,Watford,32,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,1,Darylle,DarylleLove Island UK (Season 4)
F,Ellie Jones,22,Kent,32,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,1,Ellie J,Ellie JLove Island UK (Season 4)
F,Charlie Williams,24,Bath,30,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,0,Charlie W,Charlie WLove Island UK (Season 4)
M,Dean Overson,25,Burnley,30,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,0,Dean,DeanLove Island UK (Season 4)
M,Jordan Adefeyisan,23,Stockport,30,Love Island UK (Season 4),Dumped,26,,"8,982,000",0,0,Jordan,JordanLove Island UK (Season 4)
F,Savanna Darnell,22,Sheffield,30,Love Island UK (Season 4),Dumped,26,"640,720","8,982,000",0.07133377867,0,Savanna,SavannaLove Island UK (Season 4)
F,Zara McDermott,21,Essex,25,Love Island UK (Season 4),Dumped,15,,"8,982,000",0,1,Zara,ZaraLove Island UK (Season 4)
M,Eyal Booker,22,London,25,Love Island UK (Season 4),Dumped,1,"366,150","8,982,000",0.04076486306,2,Eyal,EyalLove Island UK (Season 4)
F,Rosie Williams,26,South Wales,20,Love Island UK (Season 4),Dumped,4,,"8,982,000",0,1,Rosie,RosieLove Island UK (Season 4)
M,Charlie Frederick,23,Plymouth,13,Love Island UK (Season 4),Dumped,8,"1,478","8,982,000",0.0001645513249,1,Charlie F,Charlie FLove Island UK (Season 4)
F,Hayley Hughes,21,Liverpool,13,Love Island UK (Season 4),Dumped,1,"816,216","8,982,000",0.09087241149,2,Hayley,HayleyLove Island UK (Season 4)
M,Niall Aslam,23,Coventry,9,Love Island UK (Season 4),Walked,1,,"8,982,000",0,2,Niall,NiallLove Island UK (Season 4)
F,Kendall Rae-Knight,26,Blackpool,6,Love Island UK (Season 4),Dumped,1,"261,088","8,982,000",0.0290679136,1,Kendall,KendallLove Island UK (Season 4)
F,Amber Gill,21,Newcastle,58,Love Island UK (Season 5),Winner,1,"398,770","8,982,000",0.04439657092,5,Amber,AmberLove Island UK (Season 5)
M,Greg O'Shea,24,Limerick,58,Love Island UK (Season 5),Winner,43,,"8,982,000",0,1,Greg,GregLove Island UK (Season 5)
F,Molly-Mae Hague,20,Manchester,58,Love Island UK (Season 5),Runner-Up,4,"2,244,931","8,982,000",0.2499366511,1,Molly-Mae,Molly-MaeLove Island UK (Season 5)
M,Tommy Fury,20,Manchester,58,Love Island UK (Season 5),Runner-Up,1,"2,244,931","8,982,000",0.2499366511,1,Tommy,TommyLove Island UK (Season 5)
F,India Reynolds,28,Reading,58,Love Island UK (Season 5),Third Place,43,,"8,982,000",0,1,India,IndiaLove Island UK (Season 5)
M,Ovie Soko,28,London,58,Love Island UK (Season 5),Third Place,26,"366,150","8,982,000",0.04076486306,3,Ovie,OvieLove Island UK (Season 5)
M,Curtis Pritchard,23,Shropshire,58,Love Island UK (Season 5),Fourth Place,1,,"8,982,000",0,3,Curtis,CurtisLove Island UK (Season 5)
F,Maura Higgins,28,County Longford,58,Love Island UK (Season 5),Fourth Place,10,,"8,982,000",0,4,Maura,MauraLove Island UK (Season 5)
M,Anton Danyluk,24,Airdrie,56,Love Island UK (Season 5),Dumped,1,,"8,982,000",0,5,Anton,AntonLove Island UK (Season 5)
F,Belle Hassan,21,Bromley,56,Love Island UK (Season 5),Dumped,26,,"8,982,000",0,1,Belle,BelleLove Island UK (Season 5)
F,Anna Vakili,28,London,52,Love Island UK (Season 5),Dumped,1,"366,150","8,982,000",0.04076486306,3,Anna,AnnaLove Island UK (Season 5)
M,Chris Taylor,28,Essex,52,Love Island UK (Season 5),Dumped,37,,"8,982,000",0,2,Chris,ChrisLove Island UK (Season 5)
F,Harley Brash,20,Newcastle,52,Love Island UK (Season 5),Dumped,43,"398,770","8,982,000",0.04439657092,1,Harley,HarleyLove Island UK (Season 5)
M,Jordan Hames,24,Manchester,52,Love Island UK (Season 5),Dumped,14,"2,244,931","8,982,000",0.2499366511,1,Jordan,JordanLove Island UK (Season 5)
F,Francesca Allen,23,Essex,49,Love Island UK (Season 5),Dumped,37,,"8,982,000",0,2,Francesca,FrancescaLove Island UK (Season 5)
M,Michael Griffiths,27,London,49,Love Island UK (Season 5),Dumped,1,"366,150","8,982,000",0.04076486306,4,Michael,MichaelLove Island UK (Season 5)
F,Joanna Chimonides,22,London,42,Love Island UK (Season 5),Dumped,26,"366,150","8,982,000",0.04076486306,1,Joanna,JoannaLove Island UK (Season 5)
M,Marvin Brooks,20,Bournemouth,39,Love Island UK (Season 5),Dumped,26,"383,713","8,982,000",0.04272021821,1,Marvin,MarvinLove Island UK (Season 5)
F,Amy Hart,26,Worthing,37,Love Island UK (Season 5),Walked,1,,"8,982,000",0,2,Amy,AmyLove Island UK (Season 5)
M,George Rains,22,Essex,36,Love Island UK (Season 5),Dumped,26,,"8,982,000",0,1,George,GeorgeLove Island UK (Season 5)
F,Lucie Donlan,21,Newquay,36,Love Island UK (Season 5),Dumped,1,,"8,982,000",0,3,Lucie,LucieLove Island UK (Season 5)
M,Danny Williams,21,Hull,36,Love Island UK (Season 5),Dumped,6,,"8,982,000",0,3,Danny,DannyLove Island UK (Season 5)
F,Jourdan Riane,24,London,36,Love Island UK (Season 5),Dumped,26,"366,150","8,982,000",0.04076486306,1,Jourdan,JourdanLove Island UK (Season 5)
M,Dan Rose,21,Nuneaton,30,Love Island UK (Season 5),Dumped,26,"132,236","8,982,000",0.01472233356,0,Dan,DanLove Island UK (Season 5)
M,Dennon Lewis,22,Watford,30,Love Island UK (Season 5),Dumped,26,,"8,982,000",0,0,Dennon,DennonLove Island UK (Season 5)
F,Lavena Back,23,Croydon,30,Love Island UK (Season 5),Dumped,26,,"8,982,000",0,0,Lavena,LavenaLove Island UK (Season 5)
F,Maria Wild,22,Cheltenham,30,Love Island UK (Season 5),Dumped,26,,"8,982,000",0,0,Maria,MariaLove Island UK (Season 5)
F,Nabila Badda,29,London,30,Love Island UK (Season 5),Dumped,26,"366,150","8,982,000",0.04076486306,0,Nabila,NabilaLove Island UK (Season 5)
M,Stevie Bradley,21,Isle of Man,30,Love Island UK (Season 5),Dumped,26,,"8,982,000",0,0,Stevie,StevieLove Island UK (Season 5)
F,Arabella Chi,28,London,25,Love Island UK (Season 5),Dumped,18,"366,150","8,982,000",0.04076486306,1,Arabella,ArabellaLove Island UK (Season 5)
M,Tom Walker,29,Leeds,25,Love Island UK (Season 5),Dumped,14,,"8,982,000",0,1,Tom,TomLove Island UK (Season 5)
F,Yewande Biala,23,Dublin,22,Love Island UK (Season 5),Dumped,1,"527,612","8,982,000",0.05874103763,2,Yewande,YewandeLove Island UK (Season 5)
F,Elma Pazar,26,Essex,16,Love Island UK (Season 5),Dumped,10,,"8,982,000",0,1,Elma,ElmaLove Island UK (Season 5)
M,Joe Garratt,22,South East London,16,Love Island UK (Season 5),Dumped,1,,"8,982,000",0,1,Joe,JoeLove Island UK (Season 5)
M,Sherif Lanre,20,London,9,Love Island UK (Season 5),Removed,1,"366,150","8,982,000",0.04076486306,1,Sherif,SherifLove Island UK (Season 5)
M,Callum Macleod,28,South Wales,5,Love Island UK (Season 5),Dumped,1,,"8,982,000",0,1,Callum,CallumLove Island UK (Season 5)
M,Finley Tapp,20,Milton Keynes,43,Love Island UK (Season 6),Winner,5,"184,506","8,982,000",0.02054175017,1,Finley,FinleyLove Island UK (Season 6)
F,Paige Turley,22,West Lothian,43,Love Island UK (Season 6),Winner,1,"158,714","8,982,000",0.01767022935,2,Paige,PaigeLove Island UK (Season 6)
M,Luke Trotman,22,Luton,43,Love Island UK (Season 6),Runner-Up,12,,"8,982,000",0,2,Luke T,Luke TLove Island UK (Season 6)
F,Siânnise Fudge,25,Bristol,43,Love Island UK (Season 6),Runner-Up,1,"551,066","8,982,000",0.06135226008,3,Siânnise,SiânniseLove Island UK (Season 6)
F,Demi Jones,21,Portsmouth,43,Love Island UK (Season 6),Third Place,16,"442,252","8,982,000",0.04923758628,2,Demi,DemiLove Island UK (Season 6)
M,Luke Mabbott,24,Redcar,43,Love Island UK (Season 6),Third Place,12,,"8,982,000",0,3,Luke M,Luke MLove Island UK (Season 6)
M,Ched Uzor,23,Suffolk,43,Love Island UK (Season 6),Fourth Place,21,,"8,982,000",0,1,Ched,ChedLove Island UK (Season 6)
F,Jess Gale 1,20,Cambridge,43,Love Island UK (Season 6),Fourth Place,1,"120,375","8,982,000",0.01340180361,3,Jess,JessLove Island UK (Season 6)
M,Mike Boateng,24,Manchester,41,Love Island UK (Season 6),Dumped,1,"2,244,931","8,982,000",0.2499366511,3,Mike,MikeLove Island UK (Season 6)
F,Priscilla Anyabu,25,Battersea,41,Love Island UK (Season 6),Dumped,23,,"8,982,000",0,1,Priscilla,PriscillaLove Island UK (Season 6)
M,Callum Jones,23,Manchester,38,Love Island UK (Season 6),Dumped,1,"2,244,931","8,982,000",0.2499366511,2,Callum,CallumLove Island UK (Season 6)
F,Molly Smith,25,Manchester,38,Love Island UK (Season 6),Dumped,23,"2,244,931","8,982,000",0.2499366511,1,Molly,MollyLove Island UK (Season 6)
M,Jamie Clayton,28,Edinburgh,38,Love Island UK (Season 6),Dumped,31,"448,624","8,982,000",0.04994700512,1,Jamie C,Jamie CLove Island UK (Season 6)
F,Natalia Zoppa,20,Manchester,38,Love Island UK (Season 6),Dumped,21,"2,244,931","8,982,000",0.2499366511,2,Natalia,NataliaLove Island UK (Season 6)
F,Shaughna Phillips,25,London,33,Love Island UK (Season 6),Dumped,1,"366,150","8,982,000",0.04076486306,1,Shaughna,ShaughnaLove Island UK (Season 6)
